Porcentaje,Valor1,Valor2,Valor3,Promedio,Unidades
0,0,0,0,0,uW
1,0.7,0.8,0.9,0.8,uW
2,0.8,0.9,1,0.9,uW
3,0.8,0.9,1,0.9,uW
4,0.9,1,1.1,1,uW
5,0.9,1,1.1,1,uW
6,1,1.1,1.2,1.1,uW
7,1.1,1.2,1.3,1.2,uW
8,1.2,1.3,1.4,1.3,uW
9,1.2,1.3,1.4,1.3,uW
10,1.4,1.5,1.6,1.5,uW
11,1.5,1.6,1.7,1.6,uW
12,1.5,1.6,1.7,1.6,uW
13,1.5,1.6,1.7,1.6,uW
14,1.7,1.8,1.9,1.8,uW
15,1.8,1.9,2,1.9,uW
16,1.9,2,2.1,2,uW
17,2.2,2.3,2.4,2.3,uW
18,2.2,2.3,2.4,2.3,uW
19,2.3,2.4,2.4,2.366666667,uW
20,2.6,2.7,2.8,2.7,uW
21,2.6,2.7,2.8,2.7,uW
22,2.7,2.7,2.8,2.733333333,uW
23,2.9,3,3.1,3,uW
24,3,3.1,3.2,3.1,uW
25,3.1,3.2,3.3,3.2,uW
26,3.1,3.2,3.3,3.2,uW
27,3.6,3.7,3.8,3.7,uW
28,3.7,3.8,3.9,3.8,uW
29,3.7,3.8,3.8,3.766666667,uW
30,4,4.2,4.3,4.166666667,uW
31,4.2,4.3,4.4,4.3,uW
32,4.2,4.3,4.4,4.3,uW
33,4.8,4.9,4.9,4.866666667,uW
34,4.8,4.9,5,4.9,uW
35,4.9,5,5,4.966666667,uW
36,5.5,5.6,5.7,5.6,uW
37,5.5,5.6,5.7,5.6,uW
38,5.6,5.7,5.8,5.7,uW
39,5.6,5.7,5.8,5.7,uW
40,6,6.1,6.2,6.1,uW
41,6.1,6.2,6.3,6.2,uW
42,6.1,6.2,6.3,6.2,uW
43,6.8,6.9,6.9,6.866666667,uW
44,6.9,7,7.1,7,uW
45,7,7.1,7.2,7.1,uW
46,7.6,7.7,7.8,7.7,uW
47,7.7,7.8,7.9,7.8,uW
48,7.7,7.8,7.9,7.8,uW
49,8.4,8.5,8.6,8.5,uW
50,8.6,8.6,8.6,8.6,uW
51,8.7,8.8,8.9,8.8,uW
52,8.7,8.8,8.9,8.8,uW
53,9.3,9.4,9.5,9.4,uW
54,9.4,9.5,9.6,9.5,uW
55,9.5,9.5,9.6,9.533333333,uW
56,10.3,10.4,10.5,10.4,uW
57,10.3,10.4,10.5,10.4,uW
58,10.4,10.5,10.5,10.46666667,uW
59,11.2,11.2,11.3,11.23333333,uW
60,11.2,11.2,11.3,11.23333333,uW
61,11.2,11.3,11.3,11.26666667,uW
62,12,12.1,12.3,12.13333333,uW
63,12.1,12.2,12.3,12.2,uW
64,12.2,12.2,12.3,12.23333333,uW
65,12.2,12.3,12.4,12.3,uW
66,13,13.1,13.2,13.1,uW
67,13.1,13.2,13.3,13.2,uW
68,13.2,13.3,13.4,13.3,uW
69,14.2,14.3,14.3,14.26666667,uW
70,14.2,14.3,14.4,14.3,uW
71,14.4,14.5,14.5,14.46666667,uW
72,15.3,15.4,15.5,15.4,uW
73,15.4,15.5,15.5,15.46666667,uW
74,15.4,15.5,15.6,15.5,uW
75,16.1,16.3,16.4,16.26666667,uW
76,16.4,16.5,16.5,16.46666667,uW
77,16.4,16.5,16.5,16.46666667,uW
78,16.5,16.5,16.6,16.53333333,uW
79,17.4,17.4,17.5,17.43333333,uW
80,17.5,17.6,17.6,17.56666667,uW
81,17.6,17.7,17.8,17.7,uW
82,18.8,19,19.1,18.96666667,uW
83,18.9,19,19.1,19,uW
84,19,19,19.1,19.03333333,uW
85,20.1,20.2,20.2,20.16666667,uW
86,20.1,20.2,20.2,20.16666667,uW
87,20.1,20.2,20.3,20.2,uW
88,21.3,21.4,21.5,21.4,uW
89,21.4,21.4,21.5,21.43333333,uW
90,21.5,21.6,21.7,21.6,uW
91,22.6,22.7,22.8,22.7,uW
92,22.7,22.8,22.9,22.8,uW
93,22.7,22.8,22.9,22.8,uW
94,22.7,22.8,22.9,22.8,uW
95,23.9,24,24.1,24,uW
96,24,24.1,24.2,24.1,uW
97,24,24.1,24.2,24.1,uW
98,25.1,25.2,25.3,25.2,uW
99,25.2,25.2,25.3,25.23333333,uW
100,25.2,25.3,25.4,25.3,uW
